league_id,league,country,tier,gender,goals_per_game,home_supremacy,home_adv_log,rho,p_home,p_draw,p_away,p_over25,p_btts,efficiency_tier,typical_margin_1x2_pct,w_market_default,min_edge,kelly_fraction,nb_shape
ENG1,Premier League,Angleterre,1,H,2.8,0.28,0.1,-0.05,0.432,0.262,0.306,0.531,0.569,1,2.5,0.72,0.025,0.25,
ESP1,LaLiga,Espagne,1,H,2.6,0.3,0.116,-0.05,0.434,0.273,0.294,0.482,0.529,1,2.5,0.72,0.025,0.25,
ITA1,Serie A,Italie,1,H,2.75,0.26,0.095,-0.05,0.427,0.265,0.308,0.519,0.56,1,2.5,0.72,0.025,0.25,
GER1,Bundesliga,Allemagne,1,H,3.1,0.3,0.097,-0.03,0.444,0.242,0.314,0.599,0.619,1,2.5,0.72,0.025,0.25,
FRA1,Ligue 1,France,1,H,2.75,0.28,0.102,-0.05,0.432,0.265,0.304,0.519,0.559,1,2.5,0.72,0.025,0.25,
UCL,Ligue des champions,UEFA,0,H,3.1,0.3,0.097,-0.03,0.444,0.242,0.314,0.599,0.619,1,2.5,0.72,0.025,0.25,
UEL,Ligue Europa,UEFA,0,H,2.9,0.32,0.111,-0.05,0.443,0.256,0.301,0.554,0.586,2,3.5,0.6,0.03,0.22,
UECL,Ligue Conference,UEFA,0,H,2.95,0.35,0.119,-0.05,0.451,0.252,0.297,0.566,0.593,2,3.5,0.6,0.03,0.22,
NED1,Eredivisie,Pays-Bas,1,H,3.15,0.35,0.112,-0.03,0.455,0.239,0.306,0.61,0.626,2,3.5,0.6,0.03,0.22,
POR1,Liga Portugal,Portugal,1,H,2.6,0.32,0.124,-0.05,0.439,0.272,0.289,0.482,0.528,2,3.5,0.6,0.03,0.22,
BEL1,Pro League,Belgique,1,H,2.9,0.3,0.104,-0.05,0.439,0.256,0.305,0.554,0.586,2,3.5,0.6,0.03,0.22,
TUR1,Super Lig,Turquie,1,H,2.9,0.32,0.111,-0.05,0.443,0.256,0.301,0.554,0.586,2,3.5,0.6,0.03,0.22,
ENG2,Championship,Angleterre,2,H,2.6,0.28,0.108,-0.05,0.429,0.273,0.298,0.482,0.53,2,3.5,0.6,0.03,0.22,
GER2,2. Bundesliga,Allemagne,2,H,3.0,0.3,0.1,-0.05,0.44,0.251,0.309,0.577,0.604,2,3.5,0.6,0.03,0.22,
ITA2,Serie B,Italie,2,H,2.55,0.28,0.11,-0.05,0.428,0.276,0.296,0.469,0.52,2,3.5,0.6,0.03,0.22,
USA1,MLS,Etats-Unis,1,H,3.0,0.3,0.1,-0.05,0.44,0.251,0.309,0.577,0.604,2,3.5,0.6,0.03,0.22,
MEX1,Liga MX,Mexique,1,H,2.75,0.35,0.128,-0.05,0.448,0.263,0.289,0.519,0.556,2,3.5,0.6,0.03,0.22,
BRA1,Brasileirao Serie A,Bresil,1,H,2.4,0.35,0.147,-0.07,0.44,0.289,0.271,0.43,0.488,2,3.5,0.6,0.03,0.22,
SCO1,Premiership,Ecosse,1,H,2.7,0.28,0.104,-0.05,0.431,0.267,0.302,0.506,0.55,2,3.5,0.6,0.03,0.22,
SUI1,Super League,Suisse,1,H,3.0,0.28,0.094,-0.05,0.436,0.252,0.313,0.577,0.605,2,3.5,0.6,0.03,0.22,
AUT1,Bundesliga,Autriche,1,H,3.0,0.28,0.094,-0.05,0.436,0.252,0.313,0.577,0.605,2,3.5,0.6,0.03,0.22,
JPN1,J1 League,Japon,1,H,2.65,0.25,0.095,-0.05,0.422,0.271,0.307,0.494,0.541,2,3.5,0.6,0.03,0.22,
ARG1,Liga Profesional,Argentine,1,H,2.3,0.3,0.131,-0.07,0.425,0.298,0.277,0.404,0.469,2,3.5,0.6,0.03,0.22,
FRA2,Ligue 2,France,2,H,2.3,0.28,0.122,-0.07,0.42,0.298,0.282,0.404,0.47,3,5.0,0.48,0.04,0.18,14
ESP2,LaLiga Hypermotion,Espagne,2,H,2.3,0.3,0.131,-0.07,0.425,0.298,0.277,0.404,0.469,3,5.0,0.48,0.04,0.18,14
POR2,Liga Portugal 2,Portugal,2,H,2.45,0.3,0.123,-0.05,0.431,0.282,0.287,0.443,0.499,3,5.0,0.48,0.04,0.18,14
NED2,Eerste Divisie,Pays-Bas,2,H,3.3,0.35,0.106,-0.03,0.457,0.233,0.31,0.641,0.65,3,5.0,0.48,0.04,0.18,14
BEL2,Challenger Pro League,Belgique,2,H,2.75,0.3,0.11,-0.05,0.436,0.264,0.3,0.519,0.559,3,5.0,0.48,0.04,0.18,14
TUR2,1. Lig,Turquie,2,H,2.55,0.32,0.126,-0.05,0.438,0.275,0.287,0.469,0.518,3,5.0,0.48,0.04,0.18,14
ENG3,League One,Angleterre,3,H,2.65,0.3,0.114,-0.05,0.435,0.27,0.296,0.494,0.539,3,5.0,0.48,0.04,0.18,14
ENG4,League Two,Angleterre,4,H,2.6,0.3,0.116,-0.05,0.434,0.273,0.294,0.482,0.529,3,5.0,0.48,0.04,0.18,14
SCO2,Championship,Ecosse,2,H,2.7,0.28,0.104,-0.05,0.431,0.267,0.302,0.506,0.55,3,5.0,0.48,0.04,0.18,14
GRE1,Super League,Grece,1,H,2.45,0.35,0.144,-0.05,0.443,0.281,0.276,0.443,0.496,3,5.0,0.48,0.04,0.18,14
POL1,Ekstraklasa,Pologne,1,H,2.7,0.3,0.112,-0.05,0.435,0.267,0.298,0.506,0.549,3,5.0,0.48,0.04,0.18,14
CZE1,Chance Liga,Tchequie,1,H,2.75,0.3,0.11,-0.05,0.436,0.264,0.3,0.519,0.559,3,5.0,0.48,0.04,0.18,14
CRO1,HNL,Croatie,1,H,2.65,0.3,0.114,-0.05,0.435,0.27,0.296,0.494,0.539,3,5.0,0.48,0.04,0.18,14
DEN1,Superliga,Danemark,1,H,2.85,0.28,0.099,-0.05,0.433,0.259,0.308,0.542,0.578,3,5.0,0.48,0.04,0.18,14
NOR1,Eliteserien,Norvege,1,H,3.0,0.3,0.1,-0.05,0.44,0.251,0.309,0.577,0.604,3,5.0,0.48,0.04,0.18,14
SWE1,Allsvenskan,Suede,1,H,2.9,0.28,0.097,-0.05,0.434,0.257,0.309,0.554,0.587,3,5.0,0.48,0.04,0.18,14
KOR1,K League 1,Coree du Sud,1,H,2.6,0.25,0.096,-0.05,0.421,0.274,0.305,0.482,0.531,3,5.0,0.48,0.04,0.18,14
AUS1,A-League Men,Australie,1,H,3.0,0.28,0.094,-0.05,0.436,0.252,0.313,0.577,0.605,3,5.0,0.48,0.04,0.18,14
SAU1,Saudi Pro League,Arabie S.,1,H,2.9,0.3,0.104,-0.05,0.439,0.256,0.305,0.554,0.586,3,5.0,0.48,0.04,0.18,14
JPN2,J2 League,Japon,2,H,2.45,0.25,0.102,-0.05,0.418,0.283,0.298,0.443,0.501,3,5.0,0.48,0.04,0.18,14
BRA2,Brasileirao Serie B,Bresil,2,H,2.25,0.35,0.157,-0.07,0.437,0.3,0.263,0.391,0.455,3,5.0,0.48,0.04,0.18,14
